Amount,AmountOfSecurityOwned,CIK,OwnershipForm,Price,SecuritiesAcquirednDisposed,TitleOfSecurity,TransactionCode,TransactionDate
,3/7/2021,1345974,3/7/2021,,52.6,Restricted Stock Units,,0
,4/4/2022,1345974,4/4/2022,,62.86,Restricted Stock Units,,0
71.6689,"97,968.24",1179576,D,17.0237,A,,P,12/13/2019
"1,987.52","99,555.76",1179576,D,17.6099,A,,P,12/19/2019
,"571,961",1179576,I,,,,,
"2,000","4,973",1770897,D,,A,Common Stock,M,12/18/2019
417,"47,411",1453628,D,2.02,D,Common Stock,F,6/17/2019
687,"18,336",1607421,D,32.7,A,Common Stock,A,12/19/2019
"4,851","10,847",1721830,D,0,A,Common Stock,A,12/18/2019
,"4,986",1721830,I,,,Common Stock,,
"2,572","4,477",1415708,D,22.75,A,First Keystone Corporation Common Stock,S,12/20/2019
"3,750","3,750",1704186,D,0,A,Common Shares,M,12/18/2019
"1,701","2,049",1704186,D,52.13,D,Common Shares,F,12/18/2019
"71,028","75,578",1788015,D,0,A,Common Stock,A,12/18/2019
,,1208590,,,"2,497,619",Blackstone Holdings partnership units,,
,,1208590,,"2,497,619",,Blackstone Holdings partnership units,,
,,1208590,,,,Blackstone Holdings partnership units,,
500,"124,500",926786,I,283.78,D,Common Stock,S,12/18/2019
500,"124,000",926786,I,283,D,Common Stock,S,12/18/2019
,"50,000",926786,I,,,Common Stock,,
"1,420","45,080",1184668,D,20.95,A,Common Stock,A,12/20/2019
,"2,481",1184668,I,,,Common Stock,,
"2,035","2,035",1308428,D,0,A,Common Stock,A,12/18/2019
"1,603","62,998",1172187,D,0,D,CVCY Common Stock,G,12/20/2019
"22,387",0,1346153,D,,D,Common Stock,D,12/20/2019
"4,000","256,000",1185533,I,7.3054,D,,S,12/18/2019
,"18,234",1185533,I,,,,,
,"692,022",1185533,D,,,,,
"1,850","102,110",1492710,D,,A,Common Stock,A,12/18/2019
567,"101,543",1492710,D,16.73,D,Common Stock,F,12/18/2019
750,"2,310",1531023,D,,A,Common Stock,A,12/18/2019
183,"2,127",1531023,D,16.73,D,Common Stock,F,12/18/2019
813,"4,294",1782944,D,30.35,A,Common Stock,M,12/19/2019
281,"4,013",1782944,D,30.35,D,Common Stock,F,12/19/2019
"3,200","94,313",1557351,D,0,A,Common Stock 15346Q 400,A,12/18/2019
,"77,427",1557351,I,,,Common Stock 15346Q 400,,
,3/8/2020,1334618,3/8/2020,,99.38,Restricted Stock Units,,0
,3/7/2021,1334618,3/7/2021,,106.83,Restricted Stock Units,,0
,4/4/2022,1334618,4/4/2022,,157.15,Restricted Stock Units,,0
"3,750","306,639",1517413,D,0,A,Class A Common Stock,C,12/19/2019
"3,750","302,889",1517413,D,20.05,D,Class A Common Stock,S,12/19/2019
653,"65,643",1620137,D,7.46,D,Common Stock,F,12/18/2019
196,"3,496",1530249,D,16.89,A,Common Stock,M,12/18/2019
196,"3,300",1530249,D,64,D,Common Stock,S,12/18/2019
191,"3,491",1530249,D,16.89,A,Common Stock,M,12/20/2019
191,"3,300",1530249,D,64,D,Common Stock,S,12/20/2019
"1,774.57","23,278.60",1229438,D,17.6099,A,,P,12/19/2019
,"91,236",1229438,I,,,,,
186,"208,864",1221787,D,0,D,Common Stock,G,12/19/2019
,"26,064",1221787,I,,,Common Stock,,
,"10,645",1221787,I,,,Common Stock,,
548,"33,748",1578153,D,52.66,D,Common Stock,S,12/17/2019
"178,460",0,1233101,D,,D,Common Stock,D,12/20/2019
650,"32,207",811589,D,0,D,Common Stock,G,12/20/2019
,"10,462.08",811589,I,,,Common Stock,,
"10,000","77,966",1048911,D,148.22,A,Common Stock,P,12/20/2019
382,"4,121",862831,D,32.7,A,Common Stock,A,12/19/2019
,16,1188586,I,,,Common,,
35,246,1188586,D,72.0249,D,Common,S,12/18/2019
61,185,1188586,D,70.7565,D,Common,S,12/19/2019
8,177,1188586,D,71.0772,D,Common,S,12/19/2019
"55,016","67,971",1788001,D,0,A,Common Stock,A,12/18/2019
"393,828","474,283",1757073,D,0,A,Common Stock,A,12/18/2019
"56,190","62,785",1757073,D,0,A,Common Stock,A,12/18/2019
"2,035","2,035",1757073,D,0,A,Common Stock,A,12/18/2019
"3,700","6,200",1704255,D,0,A,Common Shares,M,12/18/2019
"1,678","4,522",1704255,D,52.13,D,Common Shares,F,12/18/2019
,3/8/2020,1336247,3/8/2020,,291.5,Restricted Stock Units,,0
,3/7/2021,1336247,3/7/2021,,302.42,Restricted Stock Units,,0
,4/4/2022,1336247,4/4/2022,,475.99,Restricted Stock Units,,0
"12,334","18,653",1124140,D,0,D,Common Stock,G,12/4/2019
,"12,334",1124140,I,,,Common Stock,,
"10,000","62,267",1337619,D,9,A,Common Stock,M,12/18/2019
"10,000","52,267",1337619,D,70.45,D,Common Stock,S,12/18/2019
6.956,"20,155.36",1271480,D,35.94,A,ACNB Corporation Common,P,12/13/2019
79.9944,"20,255.50",1271480,D,35.94,A,ACNB Corporation Common,A,12/13/2019
"25,890","374,791",1721108,I,28.55,D,Common Stock,S,12/18/2019
"54,110","320,681",1721108,I,28.99,D,Common Stock,S,12/19/2019
"31,000","249,728",1721108,I,29.51,D,Common Stock,S,12/19/2019
"25,000","224,728",1721108,I,29.53,D,Common Stock,S,12/20/2019
394,"12,567",31107,D,29.79,A,,A,12/20/2019
,"43,797",31107,I,,,,,
750,"26,224",1653918,D,,A,Common Stock,A,12/18/2019
183,"26,041",1653918,D,16.73,D,Common Stock,F,12/18/2019
"1,150","43,121",1595972,D,,A,Common Stock,A,12/18/2019
281,"42,840",1595972,D,16.73,D,Common Stock,F,12/18/2019
,,1639144,2/18/2025,"25,688",,Employee Stock Option (right to buy),,6.86
,,1639144,12/17/2026,,"17,125",Employee Stock Option (right to buy),,2.45
,,1639144,3/15/2026,"50,000",,Employee Stock Option (right to buy),,9.89
,,1639144,12/17/2026,,"33,333",Employee Stock Option (right to buy),,2.45
,,1639144,3/30/2027,"55,000",,Employee Stock Option (right to buy),,7.8
,,1639144,12/17/2026,,"32,592",Employee Stock Option (right to buy),,2.45
,,1639144,12/17/2026,,"4,074",Employee Stock Option (right to buy),,2.45
"5,161","61,315",1207383,D,9.79,A,Common Stock,M,12/19/2019
"7,646","191,408",1261333,D,73.79,D,Common Stock,S,12/18/2019
"3,175","188,233",1261333,D,74.71,D,Common Stock,S,12/18/2019
"1,400","2,138.80",1286681,D,290.508,D,,S,12/19/2019
357,"3,910",1005409,D,20.95,A,Common Stock,A,12/20/2019
,"2,481",1005409,I,,,Common Stock,,
90,"50,406",1254044,D,0,D,,G,12/18/2019
90,"50,316",1254044,D,0,D,,G,12/19/2019
"1,163","54,280",1488813,D,24.21,A,Common Stock,A,12/18/2019
,"2,811",1488813,I,,,Common Stock,,
,977,1488813,I,,,Common Stock,,
957,"15,720",1488813,D,24.21,A,Common Stock,A,12/18/2019
,965,1488813,I,,,Common Stock,,
750,"27,190",1488813,D,24.21,A,Common Stock,A,12/18/2019
,"646,764",1488813,I,,,Common Stock,,
"1,018,275","1,018,275",1535527,I,0,A,Class A Common Stock,C,12/18/2019
0,0,1535527,I,50.03,D,Class A Common Stock,S,12/18/2019
"17,832","17,832",1535527,I,0,A,Class A Common Stock,C,12/19/2019
0,0,1535527,I,50.18,D,Class A Common Stock,S,12/19/2019
,"140,000",1535527,I,,,Class A Common Stock,,
"10,950","10,950",1704317,D,0,A,Common Shares,M,12/18/2019
"4,965","5,985",1704317,D,52.13,D,Common Shares,F,12/18/2019
,"19,130",1704317,I,,,Common Shares,,
,"440,000",1704317,I,,,Common Shares,,
,"475,000",1704317,I,,,Common Shares,,
"3,000","7,000",1704256,D,0,A,Common Shares,M,12/18/2019
"1,361","5,639",1704256,D,52.13,D,Common Shares,F,12/18/2019
"1,683","9,526",1778031,D,30.35,A,Common Stock,M,12/19/2019
581,"8,945",1778031,D,30.35,D,Common Stock,F,12/19/2019
,"1,169",1778031,I,,,Common Stock,,
"29,552",0,1617609,D,,D,Common Stock,D,12/20/2019
"51,716","51,716",1617609,D,,A,Common Stock,A,12/20/2019
"61,460","113,176",1617609,D,,A,Common Stock,A,12/20/2019
"9,545","122,721",1617609,D,,A,Common Stock,A,12/20/2019
"3,200","303,529",1557204,D,0,A,Common Stock 15346Q 400,A,12/18/2019
,,1610618,6/30/2026,"100,000",,Employee Stock Option (right to buy),,10.45
,,1610618,12/17/2026,,"56,945",Employee Stock Option (right to buy),,2.45
,,1610618,12/17/2026,,"9,721",Employee Stock Option (right to buy),,2.45
,,1610618,3/30/2027,"50,000",,Employee Stock Option (right to buy),,7.8
,,1610618,12/17/2026,,"29,629",Employee Stock Option (right to buy),,2.45
,,1610618,12/17/2026,,"3,704",Employee Stock Option (right to buy),,2.45
500,"2,309,989",1706399,I,8.93,A,,P,12/18/2019
"3,500","2,313,489",1706399,I,8.9,A,,P,12/19/2019
"9,057","90,173",1766502,D,28.035,D,Class A Common Stock,S,12/18/2019
"12,342","77,831",1766502,D,28.48,D,Class A Common Stock,S,12/19/2019
,"573,567",1766502,D,,,Class A Common Stock,,
"55,504",0,1319960,D,,D,Common Stock,D,12/20/2019
1,354,1504942,I,68.2024,A,Common Stock,A,12/18/2019
,"4,453",1504942,I,,,Common Stock,,
,"16,646",1504942,D,,,Common Stock,,
"75,000","573,750",47307,I,1.43,A,Class B Common Shares,C,12/18/2019
"251,489","1,583,657",47307,I,1.43,A,Class A Common Shares,C,12/18/2019
,"9,000",47307,D,,,Class A Common Shares,,
"3,750","14,423",22356,D,66.4602,D,Common Stock,S,7/31/2018
"4,500","9,923",22356,D,59.0285,D,Common Stock,S,4/15/2019
"2,000","7,923",22356,D,64.236,D,Common Stock,S,10/23/2019
58,"16,108",22356,I,68.2024,A,Common Stock,A,12/18/2019
,"30,366",22356,I,,,Common Stock,,
,"11,578",22356,I,,,Common Stock,,
,"65,952",22356,D,,,Common Stock,,
"10,043","362,159",1162344,D,0,A,Common Stock,A,12/18/2019
"1,000","94,605",1254837,D,0,D,Chase Corporation Common Stock,G,11/25/2019
500,"297,413",1254837,I,120.02,D,Chase Corporation Common Stock,S,12/19/2019
500,"296,913",1254837,I,119.83,D,Chase Corporation Common Stock,S,12/20/2019
,"241,195",1254837,I,,,Chase Corporation Common Stock,,
,"80,612",1254837,I,,,Chase Corporation Common Stock,,
,"193,922",1254837,I,,,Chase Corporation Common Stock,,
,"30,052",1254837,I,,,Chase Corporation Common Stock,,
,"1,470",1254837,I,,,Chase Corporation Common Stock,,
"3,800","23,519",1070680,D,0,A,Common Stock 15346Q 400,A,12/18/2019
"2,599","2,599",1069530,I,1.65,A,Common Stock,P,12/18/2019
"4,280","13,507",1133470,D,0,A,Common Stock,A,12/18/2019
,3/8/2020,1548355,3/8/2020,,61.28,Restricted Stock Units,,0
,3/7/2021,1548355,3/7/2021,,73.96,Restricted Stock Units,,0
,4/4/2022,1548355,4/4/2022,,98.22,Restricted Stock Units,,0
"4,000","11,900",1758714,D,,A,Common Stock,M,12/19/2019
500,"11,400",1758714,D,8.06,D,Common Stock,S,12/19/2019
"3,000","96,913",1706771,D,40.31,D,Class A Common Stock,S,12/18/2019
625,625,1689813,D,0,A,Common Shares,M,12/18/2019
284,341,1689813,D,52.13,D,Common Shares,F,12/18/2019
,"240,500",1689813,I,,,Common Shares,,
,"550,000",1689813,I,,,Common Shares,,
,50,1689813,I,,,Common Shares,,
"2,089","90,305",1777939,D,30.35,A,Common Stock,M,12/19/2019
722,"89,583",1777939,D,30.35,D,Common Stock,F,12/19/2019
,"1,641",1777939,I,,,Common Stock,,
"25,000","87,640",1508170,I,44.81,D,,S,12/19/2019
,"65,405",1508170,D,,,,,
"12,802","29,951",1743436,D,27,D,Class A common stock,S,12/19/2019
"1,057","37,816",1470091,D,25.1,D,Common Stock,F,12/19/2019
,3/8/2020,1417020,3/8/2020,,38.1,Restricted Stock Units,,0
,3/7/2021,1417020,3/7/2021,,37.8,Restricted Stock Units,,0
,4/4/2022,1417020,4/4/2022,,49.11,Restricted Stock Units,,0
159.9889,"3,396.90",1641763,D,35.94,A,ACNB Corporation Common,A,12/13/2019
"1,075","84,523",1654337,D,,A,Common Stock,M,12/18/2019
277,"84,246",1654337,D,1.81,D,Common Stock,F,12/18/2019
