Amount,AmountOfSecurityOwned,CIK,OwnershipForm,Price,SecuritiesAcquirednDisposed,TitleOfSecurity,TransactionCode,TransactionDate
,"469,923",1246514,I,,,Common Units Representing Limited Partnership Interests,,
,"469,923",1246514,I,,,Common Units Representing Limited Partnership Interests,,
,"469,923",1246514,I,,,Common Units Representing Limited Partnership Interests,,
,"469,923",1246514,I,,,Common Units Representing Limited Partnership Interests,,
,"401,097",1246514,I,,,Common Units Representing Limited Partnership Interests,,
,"10,000",1246514,I,,,Common Units Representing Limited Partnership Interests,,
,"9,090",1246514,I,,,Common Units Representing Limited Partnership Interests,,
,"4,040",1246514,I,,,Common Units Representing Limited Partnership Interests,,
"1,350","2,000",776867,I,0,D,Common Shares,G,12/17/2019
,"6,639",776867,D,,,Common Shares,,
"2,050","3,312,667",1233266,D,0,D,Common Stock,G,12/16/2019
"2,050","3,310,617",1233266,D,0,D,Common Stock,G,12/16/2019
,"1,875,156",1233266,I,,,Common Stock,,
,"1,875,156",1233266,I,,,Common Stock,,
,"250,000",1233266,I,,,Common Stock,,
"79,365","134,488",1687143,D,0,A,Common Stock,A,12/18/2019
"4,280","12,758",1251118,D,0,A,Common Stock,A,12/18/2019
"2,895,988",0,1008023,D,,D,Common Stock,D,12/20/2019
"25,000",0,1008023,I,,D,Common Stock,D,12/20/2019
"140,000",0,1008023,I,,D,Common Stock,D,12/20/2019
,"245,000",1008023,I,,,Common Stock,,
,"43,750",1008023,I,,,Common Stock,,
"5,067,979","5,067,979",1008023,D,,A,Common Stock,A,12/20/2019
"26,945","5,094,924",1008023,D,,A,Common Stock,A,12/20/2019
,"57,449",1530997,D,,,Common Stock,,
,"8,842",1530997,I,,,Common Stock,,
"1,740","102,917",1185946,D,11.5,D,Common Stock,G,12/19/2019
"1,500","130,000",1276468,D,,D,Class A Common Stock,G,11/14/2019
,"11,990",1530997,I,,,Common Stock,,
"2,000","102,917",1185946,D,11.5,D,Common Stock,G,12/19/2019
"15,190","1,167,439",1607716,D,0,D,Common Stock,G,12/19/2019
672,"126,309",1207074,D,0,D,common stock,G,12/19/2019
,"234,456",1207074,I,,,common stock,,
,"59,195",1207074,I,,,common stock,,
,"39,500",1207074,I,,,common stock,,
840,"9,705",1676441,D,32.7,A,Common Stock,A,12/19/2019
,672,1207074,I,,,common stock,,
"7,797","61,070",1314197,D,0,A,Restricted Stock Unit,A,12/18/2019
"5,000","27,500",863894,D,2.7999,A,Common Stock,P,12/19/2019
300,"11,850",1393052,D,0,A,Class A Common Stock,M,12/20/2019
384,"13,661",1393052,D,0,A,Class A Common Stock,M,12/20/2019
328,"14,480",1393052,D,0,A,Class A Common Stock,M,12/20/2019
401,401,1393052,D,0,A,Class A Common Stock,M,12/20/2019
,"581,794",1393052,I,,,Class A Common Stock,,
20,"5,163",1393052,D,0,A,Class A Common Stock,M,12/18/2019
292,"5,455",1393052,D,0,A,Class A Common Stock,M,12/20/2019
41,"2,024",102729,D,148.29,D,Common Stock,F,12/19/2019
"2,000","83,670",1190201,D,99.9,D,Common Stock,S,12/20/2019
,"106,445",1190201,I,,,Common Stock,,
,200,1190201,I,,,Common Stock,,
