AmountDer,AmountOfSecurityOwnedDer,CIKDer,ConversionExercisePrice,ExpirationDate,OwnershipFormDer,PriceDer,SecuritiesAcquired,SecuritiesDisposed,TitleOfSecurityDer,TitleofDerivativeSecurity,TransactionCodeDer,TransactionDateDer
"10,496",0,1197480,0.0,,D,,,"10,496",Common Stock,Restricted Stock Units,D,12/20/2019
"84,420",0,1197480,0.0,,D,,,"84,420",Common Stock,Restricted Stock Units,D,12/20/2019
"39,730",0,1197480,0.0,,D,,,"39,730",Common Stock,Restricted Stock Units,D,12/20/2019
"3,714",0,1197480,0.0,,D,,,"3,714",Common Stock,Performance Share Units,D,12/20/2019
"7,061",0,1197480,0.0,,D,,,"7,061",Common Stock,Performance Share Units,D,12/20/2019
"10,045",0,1197480,0.0,,D,,,"10,045",Common Stock,Performance Share Units,D,12/20/2019
"33,016",0,1197480,27.295,03/17/2021,D,,,"33,016",Common Stock,Stock Appreciation Rights,D,12/20/2019
"27,184",0,1197480,26.94,03/23/2022,D,,,"27,184",Common Stock,Stock Appreciation Rights,D,12/20/2019
"67,968",0,1197480,14.67,03/17/2025,D,,,"67,968",Common Stock,Stock Appreciation Rights,D,12/20/2019
"59,418",0,1197480,10.98,03/17/2026,D,,,"59,418",Common Stock,Stock Appreciation Rights,D,12/20/2019
"211,277","211,277",1214501,7.86,05/19/2029,D,,"211,277",,Common Stock,Stock Option (right to buy),A,12/18/2019
489,489,1214501,7.86,06/19/2029,D,,489,,Common Stock,Stock Option (right to buy),A,12/18/2019
"874,326","4,459,007",1441693,1,12/31/2021,I,0.75,,"874,326",Common Stock,Warrant,M,12/19/2019
"5,000","144,999",1769489,1.15,03/02/2025,D,0,,"5,000",Class B Common Stock,Employee Stock Option (Right to Buy),M,12/19/2019
"5,000","297,130",1769489,1.15,,D,0,"5,000",,Class A Common Stock,Class B Common Stock,M,12/19/2019
"3,800","3,800",901876,27.795,12/30/2020,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",901876,27.795,12/30/2020,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",901876,27.795,12/30/2020,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",901876,27.795,12/30/2020,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",901876,27.795,12/30/2020,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",901876,23.605,12/30/2021,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",901876,23.605,12/30/2021,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",901876,23.605,12/30/2021,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",901876,23.605,12/30/2021,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",901876,23.605,12/30/2021,D,,,,Common Stock,Option-right to buy,,
"1,080",0,901876,35.75,12/30/2019,D,0,,"1,080",Common Stock,Option-right to buy,M,12/19/2019
"3,800",900,901876,35.75,12/30/2019,D,0,,"2,900",Common Stock,Option-right to buy,M,12/19/2019
"3,800","3,800",901876,35.75,12/30/2019,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",901876,35.75,12/30/2019,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",901876,32.825,12/29/2022,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",901876,32.825,12/29/2022,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",901876,32.825,12/29/2022,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",901876,32.825,12/29/2022,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",901876,32.825,12/29/2022,D,,,,Common Stock,Option-right to buy,,
"5,000","5,000",901876,43.8,12/28/2023,I,,,,Common Stock,Option-right to buy,,
"5,000","5,000",901876,43.8,12/28/2023,I,,,,Common Stock,Option-right to buy,,
"5,000","5,000",901876,43.8,12/28/2023,I,,,,Common Stock,Option-right to buy,,
"5,000","5,000",901876,43.8,12/28/2023,I,,,,Common Stock,Option-right to buy,,
"5,000","5,000",901876,43.8,12/28/2023,I,,,,Common Stock,Option-right to buy,,
"5,000","5,000",901876,65.25,12/30/2024,I,,,,Common Stock,Option-right to buy,,
"5,000","5,000",901876,65.25,12/30/2024,I,,,,Common Stock,Option-right to buy,,
"5,000","5,000",901876,65.25,12/30/2024,I,,,,Common Stock,Option-right to buy,,
"5,000","5,000",901876,65.25,12/30/2024,I,,,,Common Stock,Option-right to buy,,
"5,000","5,000",901876,65.25,12/30/2024,I,,,,Common Stock,Option-right to buy,,
"3,245","3,245",1701758,,,D,,,,Common Stock,Restricted Stock Units,,
"3,245","3,245",1701758,,,D,,,,Common Stock,Restricted Stock Units,,
